q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_ni56,	density,	T,
0.07282066113428276	1.2738445631951233e-15	0.0	1.318925779703037e-10	3.012347560383013e-09	1.8874597156999632e-16	2.923410082090635e-09	0.0	1.1660182296380714e-10	1.492354319005379e-18	1.4217293453680784e-11	4.625592677819925e-12	6.6478361802418345e-12	0.00012798272527502684	0.9998720110649808
0.07384632432836218	1.1914562760041252e-15	0.0	1.3240748296377558e-10	3.04438727069668e-09	1.8250423285029318e-16	2.9574562413240457e-09	0.0	1.1397482294935198e-10	1.4475375528258248e-18	1.3924171804168575e-11	4.491493795525191e-12	6.4085472338128955e-12	0.00013685494757572137	0.9998631387793728
0.07487187681166899	1.0614409651596208e-15	0.0	1.331986562876822e-10	3.07583552835822e-09	1.6976028583734094e-16	2.9926989193978596e-09	0.0	1.0898996546634134e-10	1.3539010750378557e-18	1.3345594699704945e-11	4.287762218662608e-12	5.860391130615176e-12	0.00014765145271668074	0.9998523422130653
0.07589761079188817	8.587841290955015e-16	0.0	1.3399763629661798e-10	3.1154577344360025e-09	1.5484814000561891e-16	3.0369598764280324e-09	0.0	1.0282983128934127e-10	1.2383650800182533e-18	1.2498836968190314e-11	3.955101355123423e-12	5.275010086796074e-12	0.00016074894110868314	0.9998392446479163
0.07692325875054006	7.25276859444497e-16	0.0	1.3157448799750863e-10	3.137613385646129e-09	1.553269829059988e-16	3.0584306780214178e-09	0.0	1.0357734242323625e-10	1.2390221443109433e-18	1.252346492160864e-11	3.935191047373815e-12	5.023209811705292e-12	0.00017118204409704318	0.9998288115032244
0.07794895007156247	6.973869924512894e-16	0.0	1.3181245608990195e-10	3.168523198493285e-09	1.4448978789930645e-16	3.0930440414488744e-09	0.0	9.862815668956216e-11	1.154109405582111e-18	1.1869453479607768e-11	3.68725803433717e-12	4.698945091075243e-12	0.00018087951390645716	0.9998191139738293
0.07897456630927327	5.361868894087756e-16	0.0	1.310281661043798e-10	3.205009424321035e-09	1.332301643523225e-16	3.1328604095959655e-09	0.0	9.420717814910896e-11	1.0730160272091917e-18	1.1302181140105068e-11	3.4766495620867533e-12	4.087960656579175e-12	0.0001907096374610189	0.9998092837805663
0.08000020028258427	4.586656282351607e-16	0.0	1.301893929671353e-10	3.229842464467547e-09	1.2746218082658675e-16	3.160174664841841e-09	0.0	9.088073086175406e-11	1.023683253201194e-18	1.0817027961895648e-11	3.297824203081791e-12	3.819988220510773e-12	0.00020301340968583673	0.9997969799612915
0.08102589676021286	4.118063431609239e-16	0.0	1.271827113771189e-10	3.2398441034517357e-09	1.2819314033896468e-16	3.169840569161221e-09	0.0	9.128404975130002e-11	1.03379061926096e-18	1.078426064364638e-11	3.3182328219903305e-12	3.757170037044342e-12	0.00021500546854441384	0.9997849878854439
0.08205145338443064	2.6442276180848296e-16	0.0	1.264030322023184e-10	3.2546220023730814e-09	1.18672184025427e-16	3.1866438707225445e-09	0.0	8.852000716862822e-11	9.574634774946192e-19	1.0471764262251732e-11	3.1295472649871614e-12	3.269462333973983e-12	0.00022684264291385973	0.9997731506840261
